label,house,file,py_file,draw
327,House.b18,wwhp.dck,zpy_wwhp.dck,old
328,House.b18,wwhp.dck,zpy_wwhp.dck,old
329,House.b18,wwhp.dck,zpy_wwhp.dck,old
330,House.b18,wwhp.dck,zpy_wwhp.dck,old
331,House.b18,wwhp.dck,zpy_wwhp.dck,old
332,House.b18,wwhp.dck,zpy_wwhp.dck,old
333,House.b18,wwhp.dck,zpy_wwhp.dck,old
334,House.b18,wwhp.dck,zpy_wwhp.dck,old
335,House.b18,wwhp.dck,zpy_wwhp.dck,old
336,House.b18,wwhp.dck,zpy_wwhp.dck,old
337,House.b18,wwhp.dck,zpy_wwhp.dck,old
338,House.b18,wwhp.dck,zpy_wwhp.dck,old
339,House.b18,wwhp.dck,zpy_wwhp.dck,old
340,House.b18,wwhp.dck,zpy_wwhp.dck,old
341,House.b18,wwhp.dck,zpy_wwhp.dck,old
342,House.b18,wwhp.dck,zpy_wwhp.dck,old
343,House.b18,wwhp.dck,zpy_wwhp.dck,old
344,House.b18,wwhp.dck,zpy_wwhp.dck,old
345,House.b18,wwhp.dck,zpy_wwhp.dck,old
346,House.b18,wwhp.dck,zpy_wwhp.dck,old
347,House.b18,wwhp.dck,zpy_wwhp.dck,old
348,House.b18,wwhp.dck,zpy_wwhp.dck,old
349,House.b18,wwhp.dck,zpy_wwhp.dck,old
350,House.b18,wwhp.dck,zpy_wwhp.dck,old
351,House.b18,wwhp.dck,zpy_wwhp.dck,old
352,House.b18,wwhp.dck,zpy_wwhp.dck,old
353,House.b18,wwhp.dck,zpy_wwhp.dck,old
354,House.b18,wwhp.dck,zpy_wwhp.dck,old
355,House.b18,wwhp.dck,zpy_wwhp.dck,old
356,House.b18,wwhp.dck,zpy_wwhp.dck,old
357,House.b18,wwhp.dck,zpy_wwhp.dck,old
358,House.b18,wwhp.dck,zpy_wwhp.dck,old
359,House.b18,wwhp.dck,zpy_wwhp.dck,old
360,House.b18,wwhp.dck,zpy_wwhp.dck,old
361,House.b18,wwhp.dck,zpy_wwhp.dck,old
362,House.b18,wwhp.dck,zpy_wwhp.dck,old
363,House.b18,wwhp.dck,zpy_wwhp.dck,old
364,House.b18,wwhp.dck,zpy_wwhp.dck,old
365,House.b18,wwhp.dck,zpy_wwhp.dck,old
366,House.b18,wwhp.dck,zpy_wwhp.dck,old
367,House.b18,wwhp.dck,zpy_wwhp.dck,old
368,House.b18,wwhp.dck,zpy_wwhp.dck,old
369,House.b18,wwhp.dck,zpy_wwhp.dck,old
370,House.b18,wwhp.dck,zpy_wwhp.dck,old
371,House.b18,wwhp.dck,zpy_wwhp.dck,old
372,House.b18,wwhp.dck,zpy_wwhp.dck,old
373,House.b18,wwhp.dck,zpy_wwhp.dck,old
374,House.b18,wwhp.dck,zpy_wwhp.dck,old
375,House.b18,wwhp.dck,zpy_wwhp.dck,old
376,House.b18,wwhp.dck,zpy_wwhp.dck,old
377,House.b18,wwhp.dck,zpy_wwhp.dck,old
378,House.b18,wwhp.dck,zpy_wwhp.dck,old
379,House.b18,wwhp.dck,zpy_wwhp.dck,old
380,House.b18,wwhp.dck,zpy_wwhp.dck,old
381,House.b18,wwhp.dck,zpy_wwhp.dck,old
382,House.b18,wwhp.dck,zpy_wwhp.dck,old
383,House.b18,wwhp.dck,zpy_wwhp.dck,old
384,House.b18,ashp.dck,zpy_ashp.dck,old
385,House.b18,ashp.dck,zpy_ashp.dck,old
386,House.b18,ashp.dck,zpy_ashp.dck,old
387,House.b18,ashp.dck,zpy_ashp.dck,old
388,House.b18,ashp.dck,zpy_ashp.dck,old
389,House.b18,ashp.dck,zpy_ashp.dck,old
