label,volume,coll_area,flow_rate,design_case,r_level
353,0.25,20.0,100,PVT_9,r1
354,0.15,4.0,200,PVT_6,r0
355,0.25,20.0,200,PVT_0,r1
356,0.15,16.0,100,PVT_6,r0
357,0.2,4.0,100,PVT_9,r0
358,0.25,16.0,200,PVT_0,r1
359,0.15,20.0,100,cp_PV,r1
360,0.2,8.0,200,ST,r1
361,0.25,4.0,200,PVT_0,r1
362,0.15,16.0,100,PVT_0,r1
363,0.15,4.0,100,cp_PV,r1
364,0.2,8.0,50,PVT_0,r0
365,0.25,8.0,200,ST,r1
366,0.2,20.0,200,PVT_9,r0
367,0.2,16.0,50,PVT_6,r1
368,0.25,16.0,50,cp_PV,r1
369,0.25,4.0,100,ST,r1
370,0.25,8.0,200,ST,r0
371,0.25,16.0,100,PVT_9,r1
372,0.15,8.0,200,PVT_0,r0
373,0.15,4.0,50,PVT_0,r0
374,0.15,16.0,200,PVT_0,r1
375,0.15,4.0,200,PVT_0,r0
376,0.15,16.0,50,ST,r1
377,0.25,8.0,100,ST,r1
378,0.15,4.0,100,PVT_6,r0
379,0.15,8.0,200,PVT_9,r1
380,0.25,20.0,50,PVT_0,r0
381,0.15,16.0,100,PVT_6,r1
382,0.25,4.0,50,PVT_6,r1
383,0.25,8.0,200,cp_PV,r1
384,0.25,20.0,200,PVT_6,r1
385,0.15,4.0,100,PVT_0,r1
386,0.2,4.0,100,PVT_6,r1
387,0.15,16.0,100,cp_PV,r1
388,0.15,16.0,50,cp_PV,r1
389,0.2,8.0,50,cp_PV,r0
390,0.15,8.0,200,PVT_0,r1
391,0.15,20.0,100,PVT_6,r1
392,0.15,16.0,50,PVT_0,r0
393,0.25,4.0,100,PVT_9,r1
394,0.2,4.0,200,PVT_0,r0
395,0.15,16.0,200,ST,r1
396,0.15,16.0,50,PVT_6,r0
397,0.15,8.0,100,ST,r1
398,0.25,16.0,200,PVT_6,r0
399,0.2,16.0,50,cp_PV,r0
400,0.15,16.0,50,PVT_0,r1
401,0.15,4.0,50,PVT_6,r0
402,0.15,16.0,50,PVT_9,r0
403,0.25,20.0,50,cp_PV,r0
404,0.15,8.0,50,PVT_6,r1
405,0.25,20.0,50,PVT_0,r1
406,0.15,20.0,100,PVT_9,r0
407,0.15,8.0,200,cp_PV,r1
408,0.15,20.0,200,PVT_9,r0
409,0.2,4.0,100,cp_PV,r1
410,0.15,4.0,100,PVT_9,r0
411,0.25,20.0,50,PVT_9,r1
412,0.15,20.0,200,ST,r0
413,0.2,4.0,50,cp_PV,r1
414,0.2,20.0,50,cp_PV,r1
415,0.15,20.0,200,PVT_0,r0
416,0.25,8.0,100,PVT_9,r1
417,0.25,8.0,50,ST,r0
418,0.25,4.0,50,PVT_9,r1
419,0.2,4.0,200,PVT_6,r0
420,0.15,20.0,50,cp_PV,r0
421,0.15,16.0,200,ST,r0
422,0.15,8.0,50,PVT_6,r0
423,0.2,4.0,50,ST,r1
424,0.25,4.0,100,PVT_0,r1
425,0.15,8.0,100,cp_PV,r0
426,0.25,20.0,50,PVT_9,r0
427,0.15,8.0,50,PVT_9,r0
428,0.15,16.0,100,ST,r1
429,0.25,16.0,50,PVT_6,r1
430,0.2,8.0,50,ST,r0
431,0.2,20.0,50,PVT_9,r0
432,0.2,4.0,200,PVT_9,r0
433,0.15,8.0,50,cp_PV,r1
434,0.25,4.0,200,ST,r1
435,0.25,8.0,50,cp_PV,r1
436,0.2,20.0,50,cp_PV,r0
437,0.15,4.0,100,ST,r1
438,0.15,8.0,100,cp_PV,r1
439,0.15,8.0,50,PVT_9,r1
440,0.15,4.0,200,PVT_9,r1
441,0.15,4.0,50,PVT_0,r1
442,0.25,8.0,50,PVT_0,r1
443,0.25,8.0,200,cp_PV,r0
444,0.15,4.0,200,PVT_6,r1
445,0.15,20.0,50,ST,r1
446,0.15,16.0,50,ST,r0
447,0.2,20.0,100,cp_PV,r1
448,0.25,4.0,50,ST,r0
449,0.15,20.0,50,cp_PV,r1
450,0.15,8.0,200,PVT_6,r0
451,0.15,16.0,50,cp_PV,r0
452,0.25,8.0,100,PVT_6,r0
453,0.25,8.0,200,PVT_0,r0
454,0.25,16.0,200,PVT_0,r0
455,0.15,16.0,200,cp_PV,r1
456,0.15,20.0,200,PVT_6,r1
457,0.25,16.0,50,PVT_9,r1
458,0.15,20.0,50,PVT_9,r1
459,0.25,20.0,200,PVT_9,r1
460,0.25,4.0,200,ST,r0
461,0.15,20.0,50,PVT_9,r0
462,0.25,20.0,100,ST,r1
463,0.25,20.0,50,ST,r1
464,0.25,20.0,100,PVT_0,r1
465,0.15,4.0,100,PVT_6,r1
466,0.25,16.0,200,ST,r0
467,0.25,4.0,100,cp_PV,r1
468,0.25,20.0,100,cp_PV,r1
469,0.15,8.0,50,PVT_0,r0
470,0.15,4.0,50,ST,r0
471,0.15,4.0,50,cp_PV,r1
472,0.15,8.0,200,ST,r1
473,0.25,16.0,50,ST,r0
474,0.15,20.0,50,PVT_0,r1
476,0.25,8.0,100,cp_PV,r0
477,0.25,16.0,50,ST,r1
478,0.25,20.0,100,PVT_6,r1
479,0.25,20.0,200,PVT_0,r0
480,0.15,16.0,200,PVT_6,r1
481,0.15,20.0,50,PVT_6,r1
482,0.15,4.0,100,ASHP,r0
483,0.15,4.0,100,ASHP,r1
484,0.15,8.0,100,ASHP,r0
485,0.15,8.0,100,ASHP,r1
486,0.15,16.0,100,ASHP,r0
487,0.15,16.0,100,ASHP,r1
488,0.15,20.0,100,ASHP,r0
489,0.15,20.0,100,ASHP,r1
490,0.2,4.0,100,ASHP,r0
491,0.2,4.0,100,ASHP,r1
492,0.2,8.0,100,ASHP,r0
493,0.2,8.0,100,ASHP,r1
494,0.2,16.0,100,ASHP,r0
495,0.2,16.0,100,ASHP,r1
496,0.2,20.0,100,ASHP,r0
497,0.2,20.0,100,ASHP,r1
498,0.25,4.0,100,ASHP,r0
499,0.25,4.0,100,ASHP,r1
500,0.25,8.0,100,ASHP,r0
501,0.25,8.0,100,ASHP,r1
502,0.25,16.0,100,ASHP,r0
503,0.25,16.0,100,ASHP,r1
504,0.25,20.0,100,ASHP,r0
505,0.25,20.0,100,ASHP,r1
