label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet,cost
84,1805.2,1805.2,1805.2,1805.2,0,1866.752839,0,0,4512.068954,1036.184568,5180.977101,1261.955932,699.159879,468.15,5.356960488,0,34.4,34.4,34.4,34.4,0,35.33554272,0,2.501931792,2.254271635,0,88,8760,2.363877618,2.363877618,4.887978386,1068.5,17375
85,2011.2,2011.2,2011.2,2011.2,0,2040.42173,0,0,5027.88597,0,5027.889131,1247.606945,636.470896,392.1,5.356960488,0,36.8,36.8,36.8,36.8,0,37.50880453,0,2.50183983,2.415229939,0.080920356,88,8760,2.363877618,2.363877618,4.896843818,1069.8,9175
86,2258,2339.85,2405.58,2422.03,0,2451.838856,0,348.0895171,5993.214713,1035.582642,6434.538666,2441.882293,743.9950824,496.95,5.356960488,0.693101654,49.2,49.67,49.67,50.14,0,51.05806681,0,2.466090084,2.546237145,-0.590706095,77,8750,2.363877618,2.363877618,4.887954405,1345.2,9575
87,1940,1940,1940,1940,0,1996.663978,0,0,4849.488471,517.5663653,5214.219894,1266.92875,675.2298537,520.35,5.356960488,0,34.4,34.4,34.4,34.4,0,35.32155203,0,2.479359674,2.409630423,0,88,8760,2.169760959,2.363877618,4.875296304,1066.8,17850
88,1792.4,1792.4,1792.4,1792.4,0,1854.670401,0,0,4480.043138,1036.098496,5179.030533,1248.400166,749.4690754,429.45,5.356960488,0,34.4,34.4,34.4,34.4,0,35.03334203,0,2.509460525,2.266927819,0,88,8760,2.363877618,2.363877618,4.982646973,1065.2,19312.5
89,1528,1534.18,1539.28,1540.69,0,1590.261363,0,26.24343116,3846.583539,2073.443187,5165.917375,1250.755514,742.8505698,420.6,5.356960488,1.254768067,33.6,33.6,33.6,33.6,0,34.15778941,0,2.515506335,2.207948431,-0.978488697,87,8759,2.363877618,2.371357934,4.982994694,1080.1,21712.5
90,1758.8,2070.48,2319.98,2382.49,0,2355.975106,0,1326.532368,5723.560762,2591.69277,6390.649925,2439.236186,698.1024482,501.6,5.357255812,1.882188665,47.6,48.61,49.48,49.95,0,50.69681807,0,2.470816419,2.503154331,-1.631471832,68,8741,2.369859397,2.369859397,5.09652397,1337.4,13050
91,1810.8,1810.8,1810.8,1810.8,0,1874.733406,0,0,4526.56834,1036.247597,5195.014118,1271.870002,670.5828245,500.85,5.356960488,0,34,34,34,34,0,34.65906544,0,2.476618328,2.312498399,0,88,8760,2.343703546,2.363877618,5.680611829,1066.4,17250
92,2030.4,2030.4,2030.4,2030.4,0,2060.390442,0,0,5075.739651,0,5075.740554,1244.132655,666.1966072,413.7,4.907402955,0,36.4,36.4,36.4,36.4,0,37.18317469,0,2.505529227,2.470092776,0.080920356,88,8760,2.363877618,2.363877618,4.887988474,1065.8,9175
93,1770.4,1856.41,1925.03,1942.42,0,1972.78771,0,365.4771429,4791.578008,1036.10756,5216.509123,1246.249088,775.598744,442.95,5.356960488,0.693111005,34.8,35.27,35.34,35.74,0,36.30461106,0,2.524002888,2.444269557,-0.587802851,75,8747,2.363877618,2.363877618,4.982749684,1061.1,9712.5
